상품명,해지환급금,환급이율,납입보험료,유지기간,분류
(무)1년부터e저축보험,"1,092만원",101.1,"1,080만원",3,금리연동형저축보험 상품
(무)1년부터e저축보험,"1,845만원",102.5,"1,800만원",5,금리연동형저축보험 상품
(무)1년부터e저축보험,"1,916만원",106.4,"1,800만원",7,금리연동형저축보험 상품
(무)1년부터e저축보험,"2,066만원",114.7,"1,800만원",10,금리연동형저축보험 상품
(무)수호천사온라인더좋은저축보험,362만원,100.7,360만원,1,금리연동형저축보험 상품
(무)수호천사온라인더좋은저축보험,"1,102만원",102.1,"1,080만원",3,금리연동형저축보험 상품
(무)수호천사온라인더좋은저축보험,"1,866만원",103.7,"1,800만원",5,금리연동형저축보험 상품
(무)수호천사온라인더좋은저축보험,"1,941만원",107.8,"1,800만원",7,금리연동형저축보험 상품
(무)수호천사온라인더좋은저축보험,"2,065만원",114.7,"1,800만원",10,금리연동형저축보험 상품
무배당 보너스주는저축보험,340만원,94.6,360만원,1,금리연동형저축보험 상품
무배당 보너스주는저축보험,"1,070만원",99.2,"1,080만원",3,금리연동형저축보험 상품
무배당 보너스주는저축보험,"1,855만원",103.1,"1,800만원",5,금리연동형저축보험 상품
무배당 보너스주는저축보험,"1,935만원",107.5,"1,800만원",7,금리연동형저축보험 상품
무배당 보너스주는저축보험,"2,062만원",114.6,"1,800만원",10,금리연동형저축보험 상품
무배당 보너스주는e저축보험,350만원,97.4,360만원,1,금리연동형저축보험 상품
무배당 보너스주는e저축보험,"1,076만원",99.6,"1,080만원",3,금리연동형저축보험 상품
무배당 보너스주는e저축보험,"1,855만원",103.1,"1,800만원",5,금리연동형저축보험 상품
무배당 보너스주는e저축보험,"1,935만원",107.5,"1,800만원",7,금리연동형저축보험 상품
무배당 보너스주는e저축보험,"2,062만원",114.6,"1,800만원",10,금리연동형저축보험 상품
"NH부자습관저축보험(Self가입형,무배당)",362만원,100.5,360만원,1,금리연동형저축보험 상품
"NH부자습관저축보험(Self가입형,무배당)","1,091만원",101,"1,080만원",3,금리연동형저축보험 상품
"NH부자습관저축보험(Self가입형,무배당)","1,844만원",102.4,"1,800만원",5,금리연동형저축보험 상품
"NH부자습관저축보험(Self가입형,무배당)","1,922만원",106.7,"1,800만원",7,금리연동형저축보험 상품
"NH부자습관저축보험(Self가입형,무배당)","2,059만원",114.3,"1,800만원",10,금리연동형저축보험 상품
한화생명 e재테크 저축보험 무배당,362만원,100.6,360만원,1,금리연동형저축보험 상품
한화생명 e재테크 저축보험 무배당,"1,094만원",101.3,"1,080만원",3,금리연동형저축보험 상품
한화생명 e재테크 저축보험 무배당,"1,851만원",102.8,"1,800만원",5,금리연동형저축보험 상품
한화생명 e재테크 저축보험 무배당,"1,925만원",106.9,"1,800만원",7,금리연동형저축보험 상품
한화생명 e재테크 저축보험 무배당,"2,042만원",113.4,"1,800만원",10,금리연동형저축보험 상품
삼성 인터넷저축보험2.2(무배당),361만원,100.5,360만원,1,금리연동형저축보험 상품
삼성 인터넷저축보험2.2(무배당),"1,087만원",100.6,"1,080만원",3,금리연동형저축보험 상품
삼성 인터넷저축보험2.2(무배당),"1,830만원",101.7,"1,800만원",5,금리연동형저축보험 상품
삼성 인터넷저축보험2.2(무배당),"1,908만원",106,"1,800만원",7,금리연동형저축보험 상품
삼성 인터넷저축보험2.2(무배당),"2,032만원",112.9,"1,800만원",10,금리연동형저축보험 상품
무배당 흥국생명 드림저축보험2101(수익형),338만원,93.9,360만원,1,금리연동형저축보험 상품
무배당 흥국생명 드림저축보험2101(수익형),"1,062만원",98.4,"1,080만원",3,금리연동형저축보험 상품
무배당 흥국생명 드림저축보험2101(수익형),"1,820만원",101.1,"1,800만원",5,금리연동형저축보험 상품
무배당 흥국생명 드림저축보험2101(수익형),"1,898만원",105.4,"1,800만원",7,금리연동형저축보험 상품
무배당 흥국생명 드림저축보험2101(수익형),"2,022만원",112.3,"1,800만원",10,금리연동형저축보험 상품
무배당 프리미엄저축보험2101,"1,026만원",95,"1,080만원",1,금리연동형저축보험 상품
무배당 프리미엄저축보험2101,"3,199만원",98.7,"3,240만원",3,금리연동형저축보험 상품
무배당 프리미엄저축보험2101,"5,459만원",101,"5,400만원",5,금리연동형저축보험 상품
무배당 프리미엄저축보험2101,"5,679만원",105.1,"5,400만원",7,금리연동형저축보험 상품
무배당 프리미엄저축보험2101,"6,027만원",111.6,"5,400만원",10,금리연동형저축보험 상품
삼성 New에이스저축보험B2.8(무배당),337만원,93.7,360만원,1,금리연동형저축보험 상품
삼성 New에이스저축보험B2.8(무배당),"1,060만원",98.1,"1,080만원",3,금리연동형저축보험 상품
삼성 New에이스저축보험B2.8(무배당),"1,815만원",100.8,"1,800만원",5,금리연동형저축보험 상품
삼성 New에이스저축보험B2.8(무배당),"1,890만원",105,"1,800만원",7,금리연동형저축보험 상품
삼성 New에이스저축보험B2.8(무배당),"2,007만원",111.5,"1,800만원",10,금리연동형저축보험 상품
(무)KDB양로저축보험,336만원,93.5,360만원,1,금리연동형저축보험 상품
(무)KDB양로저축보험,"1,054만원",97.7,"1,080만원",3,금리연동형저축보험 상품
(무)KDB양로저축보험,"1,804만원",100.4,"1,800만원",5,금리연동형저축보험 상품
(무)KDB양로저축보험,"1,880만원",104.6,"1,800만원",7,금리연동형저축보험 상품
(무)KDB양로저축보험,"2,000만원",111.3,"1,800만원",10,금리연동형저축보험 상품
(무)엔젤양로저축보험,337만원,93.6,360만원,1,금리연동형저축보험 상품
(무)엔젤양로저축보험,"1,058만원",97.9,"1,080만원",3,금리연동형저축보험 상품
(무)엔젤양로저축보험,"1,811만원",100.6,"1,800만원",5,금리연동형저축보험 상품
(무)엔젤양로저축보험,"1,884만원",104.7,"1,800만원",7,금리연동형저축보험 상품
(무)엔젤양로저축보험,"2,001만원",111.1,"1,800만원",10,금리연동형저축보험 상품
무배당 백년친구 부자되는 DB저축보험Ⅰ(2101),334만원,92.8,360만원,1,금리연동형저축보험 상품
무배당 백년친구 부자되는 DB저축보험Ⅰ(2101),"1,049만원",97.1,"1,080만원",3,금리연동형저축보험 상품
무배당 백년친구 부자되는 DB저축보험Ⅰ(2101),"1,796만원",99.8,"1,800만원",5,금리연동형저축보험 상품
무배당 백년친구 부자되는 DB저축보험Ⅰ(2101),"1,874만원",104.1,"1,800만원",7,금리연동형저축보험 상품
무배당 백년친구 부자되는 DB저축보험Ⅰ(2101),"1,996만원",110.9,"1,800만원",10,금리연동형저축보험 상품
한화생명 스마트V저축보험 무배당,336만원,93.5,360만원,1,금리연동형저축보험 상품
한화생명 스마트V저축보험 무배당,"1,059만원",98,"1,080만원",3,금리연동형저축보험 상품
한화생명 스마트V저축보험 무배당,"1,813만원",100.7,"1,800만원",5,금리연동형저축보험 상품
한화생명 스마트V저축보험 무배당,"1,883만원",104.6,"1,800만원",7,금리연동형저축보험 상품
한화생명 스마트V저축보험 무배당,"1,995만원",110.8,"1,800만원",10,금리연동형저축보험 상품
(무)엔젤행복저축보험,336만원,93.5,360만원,1,금리연동형저축보험 상품
(무)엔젤행복저축보험,"1,056만원",97.8,"1,080만원",3,금리연동형저축보험 상품
(무)엔젤행복저축보험,"1,807만원",100.3,"1,800만원",5,금리연동형저축보험 상품
(무)엔젤행복저축보험,"1,879만원",104.4,"1,800만원",7,금리연동형저축보험 상품
(무)엔젤행복저축보험,"1,995만원",110.8,"1,800만원",10,금리연동형저축보험 상품
프리미엄NH저축보험(무배당)_2101(적립형)(수익형),338만원,93.9,360만원,1,금리연동형저축보험 상품
프리미엄NH저축보험(무배당)_2101(적립형)(수익형),"1,056만원",97.8,"1,080만원",3,금리연동형저축보험 상품
프리미엄NH저축보험(무배당)_2101(적립형)(수익형),"1,806만원",100.3,"1,800만원",5,금리연동형저축보험 상품
프리미엄NH저축보험(무배당)_2101(적립형)(수익형),"1,879만원",104.3,"1,800만원",7,금리연동형저축보험 상품
프리미엄NH저축보험(무배당)_2101(적립형)(수익형),"1,994만원",110.7,"1,800만원",10,금리연동형저축보험 상품
교보라이프플래닛(무)b저축보험,353만원,98,360만원,1,금리연동형저축보험 상품
교보라이프플래닛(무)b저축보험,"1,081만원",100.1,"1,080만원",3,금리연동형저축보험 상품
교보라이프플래닛(무)b저축보험,"1,822만원",101.2,"1,800만원",5,금리연동형저축보험 상품
교보라이프플래닛(무)b저축보험,"1,888만원",104.9,"1,800만원",7,금리연동형저축보험 상품
교보라이프플래닛(무)b저축보험,"1,992만원",110.6,"1,800만원",10,금리연동형저축보험 상품
무배당교보First저축보험Ⅲ(적립형),335만원,93.2,360만원,1,금리연동형저축보험 상품
무배당교보First저축보험Ⅲ(적립형),"1,053만원",97.5,"1,080만원",3,금리연동형저축보험 상품
무배당교보First저축보험Ⅲ(적립형),"1,804만원",100.2,"1,800만원",5,금리연동형저축보험 상품
무배당교보First저축보험Ⅲ(적립형),"1,876만원",104.2,"1,800만원",7,금리연동형저축보험 상품
무배당교보First저축보험Ⅲ(적립형),"1,989만원",110.5,"1,800만원",10,금리연동형저축보험 상품
(무)라이프플래닛e에듀케어저축보험Ⅱ,343만원,95.5,360만원,1,금리연동형저축보험 상품
(무)라이프플래닛e에듀케어저축보험Ⅱ,"1,052만원",97.4,"1,080만원",3,금리연동형저축보험 상품
(무)라이프플래닛e에듀케어저축보험Ⅱ,"1,791만원",99.5,"1,800만원",5,금리연동형저축보험 상품
(무)라이프플래닛e에듀케어저축보험Ⅱ,"1,850만원",102.8,"1,800만원",7,금리연동형저축보험 상품
(무)라이프플래닛e에듀케어저축보험Ⅱ,"1,944만원",108,"1,800만원",10,금리연동형저축보험 상품
(무)헤아림NH다솜저축보험2101(1종:저축플랜),336만원,93.4,360만원,1,금리연동형저축보험 상품
(무)헤아림NH다솜저축보험2101(1종:저축플랜),"1,044만원",96.7,"1,080만원",3,금리연동형저축보험 상품
(무)헤아림NH다솜저축보험2101(1종:저축플랜),"1,774만원",98.6,"1,800만원",5,금리연동형저축보험 상품
(무)헤아림NH다솜저축보험2101(1종:저축플랜),"1,828만원",101.6,"1,800만원",7,금리연동형저축보험 상품
(무)헤아림NH다솜저축보험2101(1종:저축플랜),"1,914만원",106.3,"1,800만원",10,금리연동형저축보험 상품
