FinCoNo,FinPrdtCd,KorCoNm,FinPrdtNm,BeforeTaxInterestRate,AfterTaxInterestRate,AfterTaxInterest,BestInterestRate,JoinMember,InterestCalcMethod,ContactDepartment,HompUrl,CalTel,JoinWay,SpclCnd,MtrtInt,EtcNote,직업,학습,건강,관계,주거,사회참여,여가,재무,발급제한
13127,310002,KB저축은행,KB일반정기적금,정액적립식,0.02,0.0169,"10,998",제한없음,제한없음,단리,http://www.kbsavings.com/,18990900,영업점,"-인터넷뱅킹신규가입하여출금계좌를등록한후당일창구신규시우대금리연0.1%p적용.단,신규가입일포함14일이내타기관공인인증서미등록시우대금리적용해제",-1개월이내:신규가입일당시약정이율과만기일현재고시이율중낮은이율-1개월초과:보통예금이율,-12~36개월가입가능-가입금액:1만원이상,0,0,0,0,0,0,0,100,0
10526,310007,대한저축은행,정기적금,자유적립식,0.019,0.0161,-,제한없음,제한없음,단리,http://www.daehanbank.co.kr,625275701,"영업점,인터넷",없음,-만기후1개월이내:가입당시약정금리와현재금리비교후낮은금리-만기후1개월초과:보통예금금리,해당없음,0,0,0,0,0,0,0,100,0
14807,10140114300011,수협은행,Sh해양플라스틱Zero!적금(정액적립식),정액적립식,0.019,0.0161,"10,448",실명의개인,제한없음,단리,http://www.suhyup-bank.com,15881515,"영업점,인터넷,스마트폰",*최대우대금리:0.5%1.해양플라스틱감축서약:0.1%(신규시)2.봉사활동또는상품홍보:0.2%(만기시)3.입출금통장최초신규:0.2%(만기시)4.자동이체출금실적:0.2%(만기시)-수협신용카드/당행펀드/수협체크카드※단위:연%p,*만기후1년이내-만기당시정기적금계약기간별기본금리1/2*만기후1년초과-만기당시보통예금기본금리,-1인1계좌-월가입한도:100만원,0,0,0,0,0,0,0,100,0
13350,1130312001,웰컴저축은행,e-정기적금,정액적립식,0.019,0.0161,"10,448",제한없음,제한없음,단리,http://www.welcomebank.co.kr/,16610001,인터넷,-당행입출금통장자동이체우대금리→계약기간(월수)의2/3회이상당행입출금통장통한자동이체시연0.8%p,"-만기후1개월이하:이예금의가입당시약정금리나만기시점의동일상품,동일계약기간의신규약정금리중낮은금리를적용-만기시점의동일상품,동일계약기간이없을경우가입당시의약정금리를적용-만기후1개월초과:연0.1%",인터넷뱅킹전용상품,0,0,0,0,0,0,0,100,0
13350,1130313002,웰컴저축은행,m정기적금,정액적립식,0.019,0.0161,"10,448",제한없음,제한없음,단리,http://www.welcomebank.co.kr/,16610001,스마트폰,-계약기간(월수)의2/3회이상당행입출금통장을통한자동이체시연0.80%,"-만기후1개월이하:이예금의가입당시약정금리나만기시점의동일상품,동일계약기간의신규약정금리중낮은금리를적용-만기시점의동일상품,동일계약기간이없을경우가입당시의약정금리를적용-만기후1개월초과:연0.1%",-스마트(모바일)뱅킹전용상품,0,0,0,0,0,0,0,100,0
13350,1130312006,웰컴저축은행,WELCOME 체크플러스2 e정기적금,정액적립식,0.019,0.0161,"10,448",개인고객,제한없음,단리,http://www.welcomebank.co.kr/,16610001,인터넷,-최고우대금리:2.2%-체크카드월평균이용실적(10만원~30만원미만):1.4%-체크카드월평균이용실적(30만원~50만원미만):1.8%-체크카드월평균이용실적(50만원이상):2.2%※단위는연%p※체크카드는당행계좌를결제계좌로등록한SBHI체크카드및웰뱅코나카드를의미함,"-만기후1개월이하:이예금의가입당시약정금리나만기시점의동일상품,동일계약기간의신규약정금리중낮은금리를적용하며,만기시점의동일상품,동일계약기간이없을경우가입당시의약정금리를적용-만기후1개월초과:연0.1%",-1인당가입한도:월50만원-인터넷뱅킹전용상품,0,0,0,0,0,0,0,100,0
13350,1130313503,웰컴저축은행,WELCOME 체크플러스2 m정기적금,정액적립식,0.019,0.0161,"10,448",개인고객,제한없음,단리,http://www.welcomebank.co.kr/,16610001,스마트폰,-최고우대금리:2.2%-체크카드월평균이용실적(10만원~30만원미만):1.4%-체크카드월평균이용실적(30만원~50만원미만):1.8%-체크카드월평균이용실적(50만원이상):2.2%※단위는연%p※체크카드는당행계좌를결제계좌로등록한SBHI체크카드및웰뱅코나카드를의미함,"-만기후1개월이하:이예금의가입당시약정금리나만기시점의동일상품,동일계약기간의신규약정금리중낮은금리를적용하며,만기시점의동일상품,동일계약기간이없을경우가입당시의약정금리를적용-만기후1개월초과:연0.1%",-1인당가입한도:월50만원-스마트(모바일)뱅킹전용상품,0,0,0,0,0,0,0,100,0
10576,310007,진주저축은행,정기적금,정액적립식,0.0181,0.0153,"10,000",제한없음,제한없음,복리,http://www.jinjubank.net,18770030,"영업점,인터넷,스마트폰",없음,-만기일~1개월까지:최초약정이율과만기후동일상품신규가입이율중낮은이율-1개월초과:연0.1%,"-만65세이상비과세종합저축5,000만원가능",0,0,0,0,0,0,0,100,0
10485,401003,대명상호저축은행,정기적금,정액적립식,0.018,0.0152,"9,898",누구나가입가능,제한없음,단리,http://www.daemyungbank.co.kr,436405000,영업점,없음,-만기후1개월이하:약정금리와동일한금리적용-만기후1개월초과:보통예금이율,없음,0,0,0,0,0,0,0,100,0
10485,401005,대명상호저축은행,E-플러스 정기적금,정액적립식,0.018,0.0152,"9,898",누구나가입가능,제한없음,단리,http://www.daemyungbank.co.kr,436405000,"인터넷,스마트폰",없음,-만기후1개월이하:약정금리와동일한금리적용-만기후1개월초과:보통예금이율,없음,0,0,0,0,0,0,0,100,0
